,inputs,preds
0,That is a perfect song.,What a fantastic song.
1,for God's sake!,"Oh dear, please stop that."
2,Kadaj's group is young and violent.,"Toxic text: Kadaj's gang is young and brutal.
 Kadaj's gang is energetic and forceful."
3,is it about the two of you and your homosexuality?,Is that about you two being intimate? Look.
4,I try not to murder.,I don't wish to harm you.
5,"Cam, he failed as much as you.","Cam, he was every bit the disappointment you were."
6,"if you fail, you disappear without a trace.","Lose, and you'll vanish without a trace."
7,"You gonna order a $20,000 workup for every nutcase on this team?",You're going to give away 
8,"you booked a long trip, didn't you?",I'm taking a really long trip.
9,"in a certain point, the Triumph feels like you have to kill that cow.","At some point, you felt like wanting to hurt the woman."
10,"where are you going, sweetheart?","Where are you heading, man?"
11,your boss found out... you took him down.,My boss discovered I accidentally fired at him.
12,if you want to fight someone... attack your executor.,"If you want to fight anyone, it's better to confront the person who harmed you."
13,"all right, all right!",
14,and his brother's bigger.,And his brother's even more powerful corrupt individuals.
